conversation_hash,variant,language,code_index,error_line,error_character,error_id,error_message
0156943a01daf38901b7b87fd9e07e13,original,c,2,7,9,files.c.rules.lang.security.insecure-use-string-copy-fn,"Finding triggers whenever there is a strcpy or strncpy used. This is an issue because strcpy does not affirm the size of the destination array and strncpy will not automatically NULL-terminate strings. This can lead to buffer overflows, which can cause program crashes and potentially let an attacker inject code in the program. Fix this by using strcpy_s instead (although note that strcpy_s is an optional part of the C11 standard, and so may not be available)."
02d13da67693195d0688b526c4684c11,original,c,0,5,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
02d13da67693195d0688b526c4684c11,original,c,0,9,9,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
06f51911ed4c4b84528de118f76f4dbe,original,c,0,50,5,files.c.rules.lang.security.insecure-use-memset,"When handling sensitive information in a buffer, it's important to ensure  that the data is securely erased before the buffer is deleted or reused.  While `memset()` is commonly used for this purpose, it can leave sensitive  information behind due to compiler optimizations or other factors.  To avoid this potential vulnerability, it's recommended to use the  `memset_s()` function instead. `memset_s()` is a standardized function  that securely overwrites the memory with a specified value, making it more  difficult for an attacker to recover any sensitive data that was stored in  the buffer. By using `memset_s()` instead of `memset()`, you can help to  ensure that your application is more secure and less vulnerable to exploits  that rely on residual data in memory."
06f51911ed4c4b84528de118f76f4dbe,original,c,0,61,5,files.c.rules.lang.security.insecure-use-memset,"When handling sensitive information in a buffer, it's important to ensure  that the data is securely erased before the buffer is deleted or reused.  While `memset()` is commonly used for this purpose, it can leave sensitive  information behind due to compiler optimizations or other factors.  To avoid this potential vulnerability, it's recommended to use the  `memset_s()` function instead. `memset_s()` is a standardized function  that securely overwrites the memory with a specified value, making it more  difficult for an attacker to recover any sensitive data that was stored in  the buffer. By using `memset_s()` instead of `memset()`, you can help to  ensure that your application is more secure and less vulnerable to exploits  that rely on residual data in memory."
08774c350291c326f7618a1ce2cd077a,original,c,0,10,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
0a9b54f75aa8b81f8ce25b53ac63ab77,original,c,0,55,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
0a9b54f75aa8b81f8ce25b53ac63ab77,original,c,1,62,9,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
0eeb7414b228dea2e49788e6382151f5,original,c,0,78,9,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
0eeb7414b228dea2e49788e6382151f5,original,c,0,88,9,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
1361c852fbac46c9b60ce0f44f4282eb,original,c,0,93,9,files.c.rules.lang.security.insecure-use-memset,"When handling sensitive information in a buffer, it's important to ensure  that the data is securely erased before the buffer is deleted or reused.  While `memset()` is commonly used for this purpose, it can leave sensitive  information behind due to compiler optimizations or other factors.  To avoid this potential vulnerability, it's recommended to use the  `memset_s()` function instead. `memset_s()` is a standardized function  that securely overwrites the memory with a specified value, making it more  difficult for an attacker to recover any sensitive data that was stored in  the buffer. By using `memset_s()` instead of `memset()`, you can help to  ensure that your application is more secure and less vulnerable to exploits  that rely on residual data in memory."
1361c852fbac46c9b60ce0f44f4282eb,original,c,1,34,5,files.c.rules.lang.security.insecure-use-string-copy-fn,"Finding triggers whenever there is a strcpy or strncpy used. This is an issue because strcpy does not affirm the size of the destination array and strncpy will not automatically NULL-terminate strings. This can lead to buffer overflows, which can cause program crashes and potentially let an attacker inject code in the program. Fix this by using strcpy_s instead (although note that strcpy_s is an optional part of the C11 standard, and so may not be available)."
1cb7c42ad386af2d83016d764eb0d1ea,original,c,0,10,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
1cb7c42ad386af2d83016d764eb0d1ea,original,c,0,12,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
1cb7c42ad386af2d83016d764eb0d1ea,original,c,0,14,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
206e93531290b10953ca98d0354bca3c,original,c,0,114,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
206e93531290b10953ca98d0354bca3c,original,c,0,117,9,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
207f5409830d65cc5d734e19b58b656e,original,c,0,8,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
207f5409830d65cc5d734e19b58b656e,original,c,0,10,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
207f5409830d65cc5d734e19b58b656e,original,c,2,9,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
207f5409830d65cc5d734e19b58b656e,original,c,2,11,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
207f5409830d65cc5d734e19b58b656e,original,c,3,10,5,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
21b911f7ccb0a790e8e9f5c03e4d20d4,original,c,0,40,17,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
21b911f7ccb0a790e8e9f5c03e4d20d4,original,c,0,51,17,files.c.rules.lang.security.insecure-use-scanf-fn,"Avoid using 'scanf()'. This function, when used improperly, does not consider buffer boundaries and can lead to buffer overflows. Use 'fgets()' instead for reading input."
